Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q6C4M9	HOG1_YARLI	reviewed	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24)	HOG1 YALI0E25135g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	386
Q37695	ATP9_YARLI	reviewed	ATP synthase subunit 9, mitochondrial (ATP synthase subunit c) (Lipid-binding protein)	OLI1 ATP9	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	76
B5FVG3	ATPJ_YARLI	reviewed	ATP synthase subunit e, mitochondrial (ATPase subunit e) (Translocase of the inner membrane protein 11)	TIM11 ATP21 YALI0_E32164g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	90
A0A1H6PIK1	A0A1H6PIK1_YARLL	unreviewed	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)	MET3 B0I71DRAFT_134104 YALI1_B10813g	Yarrowia lipolytica (Candida lipolytica)	572
Q6C7I5	Q6C7I5_YARLI	unreviewed	YALI0E00572p	YALI0_E00572g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	121
Q6BZP3	Q6BZP3_YARLI	unreviewed	YALI0F32043p	YALI0_F32043g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1844
Q6C5S3	Q6C5S3_YARLI	unreviewed	Structural maintenance of chromosomes protein	YALI0_E15620g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1220
Q6C7Y9	Q6C7Y9_YARLI	unreviewed	YALI0D24233p	YALI0_D24233g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1145
Q6C6U3	Q6C6U3_YARLI	unreviewed	Phosphomevalonate kinase (EC 2.7.4.2)	YALI0_E06193g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	418
Q6CHB2	Q6CHB2_YARLI	unreviewed	YALI0A10593p	YALI0_A10593g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	636
Q6CCN2	Q6CCN2_YARLI	unreviewed	YALI0C08030p	YALI0_C08030g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	108
Q6CF37	Q6CF37_YARLI	unreviewed	YALI0B10538p	YALI0_B10538g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	724
Q6C4X3	Q6C4X3_YARLI	unreviewed	YALI0E23001p	YALI0_E23001g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	203
Q6C478	Q6C478_YARLI	unreviewed	YALI0E29051p	YALI0_E29051g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	333
Q6BZU5	Q6BZU5_YARLI	unreviewed	YALI0F30811p	YALI0_F30811g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	330
Q6C1Z1	Q6C1Z1_YARLI	unreviewed	YALI0F12199p	YALI0_F12199g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	605
Q6CG15	Q6CG15_YARLI	unreviewed	YALI0B01716p	YALI0_B01716g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	224
Q6C9H1	Q6C9H1_YARLI	unreviewed	YALI0D11264p	YALI0_D11264g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	223
Q6CGN1	Q6CGN1_YARLI	unreviewed	YALI0A17919p	YALI0_A17919g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	465
Q6C4D0	Q6C4D0_YARLI	unreviewed	YALI0E27786p	YALI0_E27786g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	358
Q6CB04	Q6CB04_YARLI	unreviewed	YALI0C22924p	YALI0_C22924g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	780
Q6C7Y1	Q6C7Y1_YARLI	unreviewed	ATP citrate synthase (EC 2.3.3.8)	YALI0_D24431g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	497
Q6CGH4	Q6CGH4_YARLI	unreviewed	YALI0A19272p	YALI0_A19272g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	189
B5FVG8	B5FVG8_YARLI	unreviewed	40S ribosomal protein S27	YALI0_E34826g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	82
Q6C4S0	Q6C4S0_YARLI	unreviewed	YALI0E24211p	YALI0_E24211g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	660
Q6CED2	Q6CED2_YARLI	unreviewed	GlcNAc-1-P transferase (EC 2.7.8.15) (N-acetylglucosamine-1-phosphate transferase) (UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase)	YALI0_B16588g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	448
Q9B6E4	Q9B6E4_YARLI	unreviewed	COX1-i3 protein, alternatively spliced	cox1	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	457
Q6C4Q5	Q6C4Q5_YARLI	unreviewed	YALI0E24541p	YALI0_E24541g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	553
Q6C9D5	Q6C9D5_YARLI	unreviewed	YALI0D12078p	YALI0_D12078g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	399
Q6C0E1	Q6C0E1_YARLI	unreviewed	YALI0F25531p	YALI0_F25531g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	141
Q6C1J0	Q6C1J0_YARLI	unreviewed	YALI0F15851p	YALI0_F15851g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	519
Q6C0E2	Q6C0E2_YARLI	unreviewed	MICOS complex subunit MIC60 (Mitofilin)	YALI0_F25509g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	433
Q6CAW1	Q6CAW1_YARLI	unreviewed	YALI0C23903p	YALI0_C23903g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1291
Q6CBY3	Q6CBY3_YARLI	unreviewed	YALI0C14476p	YALI0_C14476g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	541
Q6CCS2	Q6CCS2_YARLI	unreviewed	YALI0C06996p	YALI0_C06996g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	333
Q6C0C1	Q6C0C1_YARLI	unreviewed	YALI0F26037p	YALI0_F26037g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	343
Q6CA91	Q6CA91_YARLI	unreviewed	Calcium-transporting ATPase (EC 7.2.2.10)	YALI0_D04873g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1254
Q6CDI8	Q6CDI8_YARLI	unreviewed	YALI0C00187p	YALI0_C00187g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	834
Q6C7T0	Q6C7T0_YARLI	unreviewed	YALI0D25630p	YALI0_D25630g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	349
Q6C0A4	Q6C0A4_YARLI	unreviewed	YALI0F26455p	YALI0_F26455g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	522
Q6CA78	Q6CA78_YARLI	unreviewed	YALI0D05181p	YALI0_D05181g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	396
Q6C719	Q6C719_YARLI	unreviewed	YALI0E04488p	YALI0_E04488g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	327
Q6C691	Q6C691_YARLI	unreviewed	YALI0E11473p	YALI0_E11473g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	799
Q6C2D3	Q6C2D3_YARLI	unreviewed	YALI0F08833p	YALI0_F08833g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	686
Q6CC91	Q6CC91_YARLI	unreviewed	YALI0C11407p	YALI0_C11407g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	2266
Q6CBV8	Q6CBV8_YARLI	unreviewed	YALI0C15114p	YALI0_C15114g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	352
Q6C9U4	Q6C9U4_YARLI	unreviewed	YALI0D08316p	YALI0_D08316g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	322
Q6C355	Q6C355_YARLI	unreviewed	YALI0F02475p	YALI0_F02475g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	387
Q6CCX2	Q6CCX2_YARLI	unreviewed	YALI0C05819p	YALI0_C05819g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	384
Q6CBG0	Q6CBG0_YARLI	unreviewed	YALI0C19195p	YALI0_C19195g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	279
Q6CHP3	Q6CHP3_YARLI	unreviewed	YALI0A06743p	YALI0_A06743g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	228
Q6C9M1	Q6C9M1_YARLI	unreviewed	YALI0D10021p	YALI0_D10021g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	543
Q6C1Y2	Q6C1Y2_YARLI	unreviewed	YALI0F12463p	YALI0_F12463g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	782
Q6CHB4	Q6CHB4_YARLI	unreviewed	Endoplasmic reticulum junction formation protein lunapark	YALI0_A10549g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	359
Q6C802	Q6C802_YARLI	unreviewed	YALI0D23903p	YALI0_D23903g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1139
Q6C2P0	Q6C2P0_YARLI	unreviewed	YALI0F06292p	YALI0_F06292g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	203
B5FVF5	B5FVF5_YARLI	unreviewed	YALI0E26686p	YALI0_E26686g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	153
Q6C0Z7	Q6C0Z7_YARLI	unreviewed	YALI0F20482p	YALI0_F20482g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	155
Q6C1B0	Q6C1B0_YARLI	unreviewed	YALI0F17798p	YALI0_F17798g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	479
Q6CI24	Q6CI24_YARLI	unreviewed	YALI0A02354p	YALI0_A02354g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	494
Q6C344	Q6C344_YARLI	unreviewed	YALI0F02761p	YALI0_F02761g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	278
Q6BZU8	Q6BZU8_YARLI	unreviewed	YALI0F30745p	YALI0_F30745g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1006
Q6CC71	Q6CC71_YARLI	unreviewed	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	YALI0_C11880g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	249
Q6C0C3	Q6C0C3_YARLI	unreviewed	YALI0F25993p	YALI0_F25993g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	404
Q6C1C9	Q6C1C9_YARLI	unreviewed	YALI0F17380p	YALI0_F17380g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	183
Q6CH59	Q6CH59_YARLI	unreviewed	YALI0A12111p	YALI0_A12111g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	559
Q6C0C6	Q6C0C6_YARLI	unreviewed	YALI0F25861p	YALI0_F25861g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	461
Q6CBC2	Q6CBC2_YARLI	unreviewed	YALI0C20141p	YALI0_C20141g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	184
Q6C4W7	Q6C4W7_YARLI	unreviewed	YALI0E23133p	YALI0_E23133g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	186
Q6CAN1	Q6CAN1_YARLI	unreviewed	YALI0D01331p	YALI0_D01331g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	457
Q6CG42	Q6CG42_YARLI	unreviewed	YALI0B01034p	YALI0_B01034g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	313
Q6CD15	Q6CD15_YARLI	unreviewed	YALI0C04565p	YALI0_C04565g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	305
Q6C368	Q6C368_YARLI	unreviewed	YALI0F02189p	YALI0_F02189g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	322
Q6CAG6	Q6CAG6_YARLI	unreviewed	YALI0D02915p	YALI0_D02915g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	430
Q6CCB9	Q6CCB9_YARLI	unreviewed	Isoleucyl-tRNA synthetase (EC 6.1.1.5)	YALI0_C10780g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	972
Q6CBC5	Q6CBC5_YARLI	unreviewed	YALI0C20075p	YALI0_C20075g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	73
Q6C194	Q6C194_YARLI	unreviewed	YALI0F18216p	YALI0_F18216g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	443
Q6CBQ0	Q6CBQ0_YARLI	unreviewed	YALI0C16643p	YALI0_C16643g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1085
Q6CBH1	Q6CBH1_YARLI	unreviewed	Alkyl transferase (EC 2.5.1.-)	YALI0_C18799g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	267
Q6C3W0	Q6C3W0_YARLI	unreviewed	YALI0E31757p	YALI0_E31757g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	406
Q6C5Y1	Q6C5Y1_YARLI	unreviewed	YALI0E14146p	YALI0_E14146g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	252
Q6C305	Q6C305_YARLI	unreviewed	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	NTG1 YALI0_F03641g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	483
Q6C403	Q6C403_YARLI	unreviewed	YALI0E30877p	YALI0_E30877g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	452
Q6C363	Q6C363_YARLI	unreviewed	Leucyl-tRNA synthetase (EC 6.1.1.4)	YALI0_F02299g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	818
B5FVG6	B5FVG6_YARLI	unreviewed	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29)	YALI0_E32736g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	169
Q6C335	Q6C335_YARLI	unreviewed	YALI0F02959p	YALI0_F02959g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	679
Q6C064	Q6C064_YARLI	unreviewed	YALI0F27467p	YALI0_F27467g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	239
Q6CFA1	Q6CFA1_YARLI	unreviewed	Superoxide dismutase (EC 1.15.1.1)	YALI0_B08921g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	229
Q6CCH2	Q6CCH2_YARLI	unreviewed	YALI0C09394p	YALI0_C09394g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	257
Q6C5D5	Q6C5D5_YARLI	unreviewed	1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	YALI0_E18964g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	282
Q6C5Y6	Q6C5Y6_YARLI	unreviewed	YALI0E14036p	YALI0_E14036g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	906
Q6C4E6	Q6C4E6_YARLI	unreviewed	Aminoacyl-tRNA hydrolase (EC 3.1.1.29)	YALI0_E27412g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	199
Q6CGW9	Q6CGW9_YARLI	unreviewed	YALI0A15400p	YALI0_A15400g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	177
Q6C6G4	Q6C6G4_YARLI	unreviewed	YALI0E09757p	YALI0_E09757g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	319
Q6CI96	Q6CI96_YARLI	unreviewed	YALI0A00396p	YALI0_A00396g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	505
Q6C1B3	Q6C1B3_YARLI	unreviewed	YALI0F17732p	YALI0_F17732g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	433
Q6CHT6	Q6CHT6_YARLI	unreviewed	YALI0A05159p	YALI0_A05159g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	285
Q6CAW2	Q6CAW2_YARLI	unreviewed	YALI0C23881p	YALI0_C23881g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	398
Q6C466	Q6C466_YARLI	unreviewed	YALI0E29315p	YALI0_E29315g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	356
Q6C6B5	Q6C6B5_YARLI	unreviewed	YALI0E10835p	YALI0_E10835g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	202
W0TYL8	W0TYL8_YARLI	unreviewed	YALI0F21450p	YALI0_F21450g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1429
Q6C8Z0	Q6C8Z0_YARLI	unreviewed	YALI0D15686p	YALI0_D15686g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	246
Q6C5M7	Q6C5M7_YARLI	unreviewed	YALI0E16731p	YALI0_E16731g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	1214
Q6CF16	Q6CF16_YARLI	unreviewed	YALI0B11088p	YALI0_B11088g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	597
Q6CH76	Q6CH76_YARLI	unreviewed	YALI0A11627p	YALI0_A11627g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	170
Q6CCA0	Q6CCA0_YARLI	unreviewed	YALI0C11209p	YALI0_C11209g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	113
Q6C978	Q6C978_YARLI	unreviewed	YALI0D13255p	YALI0_D13255g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	376
Q6C1M4	Q6C1M4_YARLI	unreviewed	YALI0F14993p	YALI0_F14993g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	125
Q6CHM6	Q6CHM6_YARLI	unreviewed	YALI0A07128p	YALI0_A07128g	Yarrowia lipolytica (strain CLIB 122 / E 150) (Yeast) (Candida lipolytica)	553
