Entry	Gene names	Gene ontology IDs	Pathway	Keywords	Protein names
Q6C2A3	BUD32 YALI0F09471g	GO:0000408; GO:0000781; GO:0004674; GO:0005524; GO:0005634; GO:0005737; GO:0006468; GO:0008033; GO:0016787; GO:0070525; GO:0106310; GO:0106311		ATP-binding;Activator;Chromosome;Cytoplasm;Hydrolase;Kinase;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Telomere;Transcription;Transcription regulation;Transferase;tRNA processing	EKC/KEOPS complex subunit BUD32 (EC 3.6.-.-) (Atypical serine/threonine protein kinase BUD32) (EC 2.7.11.1)
Q6C4M9	HOG1 YALI0E25135g	GO:0004674; GO:0004707; GO:0005524; GO:0005634; GO:0005737; GO:0007231; GO:0034599; GO:0035556; GO:0051403; GO:0106310; GO:0106311		ATP-binding;Activator;Cytoplasm;Kinase;Nucleotide-binding;Nucleus;Phosphoprotein;Reference proteome;Serine/threonine-protein kinase;Transcription;Transcription regulation;Transferase	Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24)
Q6C7U0	ATG1 YALI0D25388g	GO:0000045; GO:0000422; GO:0004674; GO:0005524; GO:0005737; GO:0015031; GO:0018105; GO:0034045; GO:0034727; GO:0042594; GO:0044805; GO:0061709; GO:0106310; GO:0106311		ATP-binding;Autophagy;Cytoplasm;Kinase;Membrane;Nucleotide-binding;Protein transport;Reference proteome;Serine/threonine-protein kinase;Transferase;Transport	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy-related protein 1)
P41555	ICL1 YALI0C16885g	GO:0004451; GO:0006097; GO:0006099; GO:0009514; GO:0046421; GO:0046872	PATHWAY: Carbohydrate metabolism; glyoxylate cycle; (S)-malate from isocitrate: step 1/2.	Glyoxylate bypass;Glyoxysome;Lyase;Magnesium;Metal-binding;Peroxisome;Reference proteome;Tricarboxylic acid cycle	Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30) (Threo-D(S)-isocitrate glyoxylate-lyase)
B5FVG3	TIM11 ATP21 YALI0_E32164g	GO:0000276; GO:0005753; GO:0015078; GO:0015986; GO:0016021		ATP synthesis;Acetylation;CF(0);Direct protein sequencing;Hydrogen ion transport;Ion transport;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	ATP synthase subunit e, mitochondrial (ATPase subunit e) (Translocase of the inner membrane protein 11)
Q6CCB0	SSN3 CDK8 YALI0C10967g	GO:0004693; GO:0005524; GO:0005634; GO:0006468; GO:0008353; GO:0016592; GO:0046872; GO:0106310; GO:0106311		ATP-binding;Activator;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Nucleus;Reference proteome;Repressor;Serine/threonine-protein kinase;Transcription;Transcription regulation;Transferase	Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8)
Q6C842	BUR1 YALI0D22935g	GO:0000307; GO:0004693; GO:0005524; GO:0005634; GO:0006368; GO:0006468; GO:0008024; GO:0008353; GO:0030332; GO:0032968; GO:0070816; GO:0106310; GO:0106311		ATP-binding;Kinase;Nucleotide-binding;Nucleus;Reference proteome;Serine/threonine-protein kinase;Transferase	Serine/threonine-protein kinase BUR1 (EC 2.7.11.22) (EC 2.7.11.23)
Q6C8F0	CEX1 YALI0_D20196g	GO:0005887; GO:0015137; GO:0015746; GO:0022857; GO:0055085; GO:0140115		Cell membrane;Glycoprotein;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	Citrate exporter 1
A0A1H6PIK1	MET3 B0I71DRAFT_134104 YALI1_B10813g YALI2_C00921g	GO:0000103; GO:0004020; GO:0004781; GO:0005524; GO:0005737; GO:0009086; GO:0019344; GO:0070814	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3. {ECO:0000256|HAMAP-Rule:MF_03106}.	ATP-binding;Allosteric enzyme;Amino-acid biosynthesis;Cysteine biosynthesis;Cytoplasm;Methionine biosynthesis;Nucleotide-binding;Nucleotidyltransferase;Transferase	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)
Q36257	ATP8	GO:0000276; GO:0015078; GO:0015986; GO:0016021		ATP synthesis;CF(0);Formylation;Hydrogen ion transport;Ion transport;Membrane;Mitochondrion;Mitochondrion inner membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	ATP synthase protein 8 (A6L) (F-ATPase subunit 8)
P18120	LEU2 YALI0C00407g	GO:0000287; GO:0003862; GO:0005829; GO:0009082; GO:0009098; GO:0051287	PATHWAY: Amino-acid biosynthesis; L-leucine biosynthesis; L-leucine from 3-methyl-2-oxobutanoate: step 3/4.	Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Cytoplasm;Leucine biosynthesis;Magnesium;Manganese;Metal-binding;NAD;Oxidoreductase;Reference proteome	3-isopropylmalate dehydrogenase (3-IPM-DH) (IMDH) (EC 1.1.1.85) (Beta-IPM dehydrogenase)
Q6CFD2	MET3 YALI0B08184g	GO:0000096; GO:0004020; GO:0004781; GO:0005524; GO:0005737; GO:0009086; GO:0010134; GO:0019344; GO:0019379; GO:0070814	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate: step 1/3. {ECO:0000255|HAMAP-Rule:MF_03106}.	ATP-binding;Allosteric enzyme;Amino-acid biosynthesis;Cysteine biosynthesis;Cytoplasm;Methionine biosynthesis;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT)
Q6C2F5	ATG9 YALI0F08349g	GO:0000139; GO:0000407; GO:0000422; GO:0005776; GO:0005789; GO:0015031; GO:0016021; GO:0030659; GO:0034045; GO:0034497; GO:0044805		Autophagy;Cytoplasmic vesicle;Endoplasmic reticulum;Golgi apparatus;Lipid transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	Autophagy-related protein 9
Q6C3J2	IPL1 YALI0E34375g	GO:0000776; GO:0005524; GO:0005634; GO:0005737; GO:0005876; GO:0007052; GO:0007059; GO:0032133; GO:0032465; GO:0035174; GO:0051233; GO:0106310; GO:0106311		ATP-binding;Cell cycle;Centromere;Chromosome;Chromosome partition;Cytoplasm;Cytoskeleton;Kinase;Kinetochore;Nucleotide-binding;Nucleus;Reference proteome;Serine/threonine-protein kinase;Transferase	Spindle assembly checkpoint kinase (EC 2.7.11.1) (Aurora kinase)
A0A371CEC6	B0I71DRAFT_138299 YALI2_C00780g	GO:0004313; GO:0004314; GO:0004317; GO:0004318; GO:0004320; GO:0004321; GO:0005835; GO:0006633; GO:0008659; GO:0008693; GO:0016295; GO:0016296; GO:0016631; GO:0047451		Acyltransferase;Fatty acid biosynthesis;Fatty acid metabolism;Hydrolase;Lipid biosynthesis;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;NADP;Oxidoreductase;Transferase	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]
Q6C326	ATP1 YALI0_F03179g	GO:0005524; GO:0005754; GO:0015986; GO:0043531; GO:0045261; GO:0046933		3D-structure;ATP synthesis;ATP-binding;CF(1);Direct protein sequencing;Hydrogen ion transport;Ion transport;Membrane;Mitochondrion;Mitochondrion inner membrane;Nucleotide-binding;Reference proteome;Transit peptide;Transport	ATP synthase subunit alpha, mitochondrial
A0A1D8NF40	B0I71DRAFT_121365 YALI1_D22906g YALI2_D00767g	GO:0000256; GO:0004037		Hydrolase	Allantoicase (EC 3.5.3.4)
A0A371CCN8	B0I71DRAFT_128234 YALI2_E01437g	GO:0033180; GO:0046961		Hydrogen ion transport;Ion transport;Transport	V-type proton ATPase subunit F
A0A1D8NDZ4	B0I71DRAFT_135337 YALI1_D12815g YALI2_D00912g				Uncharacterized protein
A0A1H6PZ90	B0I71DRAFT_132019 YALI1_A14189g YALI2_A00485g	GO:0005774; GO:0016021		Membrane;Transmembrane;Transmembrane helix	DUF202 domain-containing protein
A0A1D8NLD0	B0I71DRAFT_132591 YALI1_F00366g				Uncharacterized protein
A0A1H6Q3T0	B0I71DRAFT_129134 YALI1_D06131g YALI2_D00094g	GO:0005886; GO:0016757; GO:0031225		GPI-anchor;Glycoprotein;Glycosyltransferase;Lipoprotein;Membrane;Signal;Transferase	1,3-beta-glucanosyltransferase (EC 2.4.1.-)
A0A1H6PLH2	B0I71DRAFT_128452 YALI1_F15886g YALI2_F00236g				Uncharacterized protein
A0A371C9S5	B0I71DRAFT_129779 YALI2_B00586g	GO:0034599		Coiled coil	CAP1-binding-protein (YAP-binding/ALF4/Glomulin)
A0A371C774	B0I71DRAFT_131898 YALI2_B00441g	GO:0005789; GO:0016021		Endoplasmic reticulum;Membrane;Transmembrane;Transmembrane helix	Uncharacterized membrane protein
A0A1D8N3C6	B0I71DRAFT_136562 YALI1_A01864g YALI2_A00666g			Signal	Uncharacterized protein
A0A1H6Q3R1	B0I71DRAFT_136487 YALI1_E10233g YALI2_E01593g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A371CDZ2	B0I71DRAFT_127444 YALI2_C00887g	GO:0016746		Lipoyl;Pyruvate;Transit peptide	Pyruvate dehydrogenase complex protein X component
A0A1H6PZ07	B0I71DRAFT_127933 YALI1_E37118g	GO:0016787		Hydrolase	Alpha/Beta hydrolase protein
A0A1D8NL64	B0I71DRAFT_128623 YALI1_E40744g YALI2_F00503g	GO:0004190		Hydrolase;Signal	Aspartic peptidase domain-containing protein (Aspartic-type endopeptidase opsB) (EC 3.4.23.-)
A0A1D8N764	B0I71DRAFT_127392 YALI1_B12295g YALI2_C00900g	GO:0003993		Hydrolase;Signal	Acid phosphatase (EC 3.1.3.2) (Phosphoesterase family-domain-containing protein)
A0A1D8NHS7	YALI1_E11875g YALI2_E00198g				Uncharacterized protein
A0A1D8NFC9	B0I71DRAFT_131319 YALI1_D25250g YALI2_D00743g				Translation machinery-associated protein 16
A0A1H6PH27	B0I71DRAFT_134462 YALI1_B29742g				Rab-GTPase-TBC domain-containing protein
A0A1D8ND05	B0I71DRAFT_131823 YALI1_D03756g YALI2_D01070g	GO:0006457; GO:0030544; GO:0046872; GO:0051082		Metal-binding;Repeat;Zinc;Zinc-finger	DnaJ protein xdj1
A0A1H6Q3V5	B0I71DRAFT_135322 YALI1_D12964g YALI2_D00204g	GO:0003676; GO:0003700; GO:0005634; GO:0008270		Metal-binding;Nucleus;Repeat;Zinc;Zinc-finger	FKBP12-associated protein 1
A0A371BZC5	B0I71DRAFT_161341 YALI2_E00125g			SH3 domain	LAS seventeen-binding protein 3
A0A1D8NH75	B0I71DRAFT_133215 YALI1_E06119g YALI2_E00117g	GO:0015031; GO:0030173		Golgi apparatus;Membrane;Protein transport;Transmembrane;Transmembrane helix;Transport	Protein transport protein SFT1
A0A1D8NMD0	B0I71DRAFT_127284 YALI1_F10385g	GO:0005524; GO:0044877; GO:0106310; GO:0106311		ATP-binding;Kinase;Nucleotide-binding;Repeat;Serine/threonine-protein kinase;Transferase	Serine/threonine-protein kinase TOR (EC 2.7.11.1)
A0A1H6PHC9	B0I71DRAFT_130263 YALI1_B24836g YALI2_C00518g	GO:0016021; GO:0022857		Membrane;Transmembrane;Transmembrane helix	MFS siderochrome iron transporter 1 (Major facilitator superfamily domain-containing protein)
A0A1D8NM17	B0I71DRAFT_129372 YALI1_F07630g YALI2_F00893g	GO:0003863		Oxidoreductase	2-oxoisovalerate dehydrogenase subunit beta (EC 1.2.4.4) (Thiamine diphosphate-binding protein)
A0A1H6PXJ3	B0I71DRAFT_135105 YALI1_E39385g YALI2_F00440g	GO:0005198; GO:0006886; GO:0016192; GO:0030130; GO:0030132		Coated pit;Coiled coil;Cytoplasmic vesicle;Membrane	Clathrin light chain
A0A1D8N7Z1	B0I71DRAFT_127523 YALI1_B20493g YALI2_C00770g				Uncharacterized protein
A0A371C1K8	B0I71DRAFT_134668 YALI2_D00452g	GO:0002098; GO:0033588	PATHWAY: tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. {ECO:0000256|ARBA:ARBA00005043}.		Elongator complex protein 6
A0A371C1W4	B0I71DRAFT_134438 YALI2_C00613g				LsmAD domain-domain-containing protein (PAB1-binding protein 1)
A0A1D8N5F9	B0I71DRAFT_168384 YALI1_A20113g				Uncharacterized protein
A0A1D8NEW6	YALI1_D20904g YALI2_D00791g				Uncharacterized protein
A0A1D8NHX1	B0I71DRAFT_99186 YALI1_E13402g				Uncharacterized protein
A0A1D8NQE7	B0I71DRAFT_136256 YALI1_F36794g	GO:0017150; GO:0050660		FMN;Flavoprotein;NAD;Oxidoreductase;tRNA processing	Dus domain-containing protein
A0A371CFZ2	B0I71DRAFT_126176 YALI2_F00050g				Protein frg1
A0A1D8N7U0	B0I71DRAFT_130234 YALI1_B18472g YALI2_C00809g	GO:0016021		Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1D8NLG6	B0I71DRAFT_41573 YALI1_F02047g	GO:0005524; GO:0005634; GO:0016787; GO:0046872; GO:0070615		ATP-binding;Hydrolase;Metal-binding;Nucleotide-binding;Nucleus;Zinc;Zinc-finger	SNF2 family N-terminal domain-domain-containing protein
A0A371C581	B0I71DRAFT_132574 YALI2_E01596g	GO:0004499; GO:0050660; GO:0050661		FAD;Flavoprotein;Monooxygenase;Oxidoreductase	Baeyer-Villiger monooxygenase (EC 1.14.13.-)
A0A1H6Q017	YALI1_C17163g YALI2_B00109g	GO:0016021; GO:0022857		Membrane;Transmembrane;Transmembrane helix	MFS transporter asaE
A0A371C357	B0I71DRAFT_133750 YALI2_B00303g	GO:0004301		Hydrolase	Alpha/Beta hydrolase protein (Bifunctional epoxide hydrolase 2) (EC 3.3.2.10)
A0A1D8N9W2	YALI1_C08106g YALI2_C00107g				HABP4_PAI-RBP1 domain-containing protein
A0A1H6PU52	B0I71DRAFT_141765 YALI1_F17907g YALI2_F00266g	GO:0000775; GO:0003746; GO:0005634; GO:0008270; GO:0032786		Centromere;Chromosome;Elongation factor;Metal-binding;Nucleus;Protein biosynthesis;Transcription;Zinc;Zinc-finger	Transcription elongation factor SPT4
A0A371BZW1	B0I71DRAFT_123706 YALI2_D01125g	GO:0016021		Membrane;Signal;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A371C1P2	B0I71DRAFT_134644 YALI2_D00446g	GO:0005743; GO:0030150; GO:0051087		Membrane;Mitochondrion;Mitochondrion inner membrane;Protein transport;Translocation;Transport	Mitochondrial import inner membrane translocase subunit TIM44
A0A1D8NFW3	B0I71DRAFT_134636 YALI1_D30319g YALI2_D00674g	GO:0005789; GO:0016021		Endoplasmic reticulum;Membrane;Transmembrane;Transmembrane helix	Uncharacterized protein
A0A1H6Q4T3	B0I71DRAFT_136127 YALI1_D34043g YALI2_D00544g	GO:0000049; GO:0005737; GO:0051499		Cytoplasm;Hydrolase;RNA-binding;tRNA-binding	D-aminoacyl-tRNA deacylase (EC 3.1.1.96)
A0A1H6PUC6	B0I71DRAFT_126690 YALI1_B26888g YALI2_C00669g				Sporulation-specific protein 12
A0A1H6Q2G9	YALI1_E18927g YALI2_E00313g	GO:0004474; GO:0006097; GO:0006099	PATHWAY: Carbohydrate metabolism; glyoxylate cycle; (S)-malate from isocitrate: step 2/2. {ECO:0000256|RuleBase:RU000555}.	Acyltransferase;Glyoxylate bypass;Transferase;Tricarboxylic acid cycle	Malate synthase (EC 2.3.3.9)
A0A1D8NQ08	YALI1_F33579g YALI2_E00984g	GO:0047631		Hydrolase	ADP-ribose pyrophosphatase (EC 3.6.1.13)
A0A1D8NIP8	YALI1_E19883g YALI2_E00332g			Coiled coil	Coiled-coil domain-containing protein 25
A0A1H6PW75	B0I71DRAFT_115682 YALI1_C13879g				Uncharacterized protein
A0A371CEM1	B0I71DRAFT_126939 YALI2_E01480g	GO:0003677; GO:0005634; GO:0006281; GO:0035312; GO:0046872		DNA damage;DNA excision;DNA repair;DNA-binding;Excision nuclease;Exonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Nucleus	Exonuclease 1 (EC 3.1.-.-)
A0A1H6PU81	B0I71DRAFT_42781 YALI1_D32695g YALI2_D00650g			Signal	Uncharacterized protein
A0A1H6PZX9	B0I71DRAFT_129903 YALI1_E31389g YALI2_E01232g	GO:0000786; GO:0003677; GO:0005634; GO:0046982		Isopeptide bond;Nucleus;Ubl conjugation	Histone H2B
A0A1H6Q060	B0I71DRAFT_30494 YALI1_F38339g YALI2_E00904g	GO:0006487; GO:0008250; GO:0016021; GO:0016757	PATHWAY: Protein modification; protein glycosylation. {ECO:0000256|RuleBase:RU366029}.	Endoplasmic reticulum;Glycosyltransferase;Membrane;Signal;Transferase;Transmembrane;Transmembrane helix	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
A0A1D8N847	B0I71DRAFT_127494 YALI1_B21088g YALI2_C00452g	GO:0004660; GO:0018342		Repeat;Transferase	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha (EC 2.5.1.58)
A0A371CAK8	B0I71DRAFT_129219 YALI2_E01588g	GO:0005886; GO:0016021; GO:0032220; GO:0043332		Cell membrane;Conjugation;Membrane;Transmembrane;Transmembrane helix	Plasma membrane fusion protein PRM1
A0A371C0T9	B0I71DRAFT_135510 YALI2_F00668g	GO:0008168			Methyltransf_11 domain-containing protein
A0A1D8NN39	B0I71DRAFT_128462 YALI1_F16117g YALI2_F00734g	GO:0016740		Receptor;Repeat;TPR repeat;Transferase	N-terminal acetyltransferase A complex subunit nat1 (NMDA receptor-regulated protein 1-domain-containing protein)
A0A371C5J3	B0I71DRAFT_120036 YALI2_E00208g			Signal	Uncharacterized protein
A0A1D8N4C5	B0I71DRAFT_135267 YALI1_A10318g YALI2_A00163g	GO:0004366; GO:0044255; GO:0102420		Acyltransferase;Coiled coil;Transferase	Acyltransferase-domain-containing protein (Glycerol-3-phosphate acyltransferase) (EC 2.3.1.15)
S5TF83	cox3-I1 YALI1_M00277g1	GO:0004519; GO:0005739		Mitochondrion	LAGLIDADG_2 domain-containing protein
A0A1D8N8R1	B0I71DRAFT_126641 YALI1_B27723g				Uncharacterized protein
A0A371BXA9	B0I71DRAFT_137121 YALI2_D01006g	GO:0003999; GO:0005737; GO:0006166; GO:0006168; GO:0044209; GO:0046872	PATHWAY: Purine metabolism; AMP biosynthesis via salvage pathway; AMP from adenine: step 1/1. {ECO:0000256|ARBA:ARBA00004659}.	Cytoplasm;Glycosyltransferase;Magnesium;Purine salvage;Transferase	Adenine phosphoribosyltransferase (EC 2.4.2.7)
A0A1H6PW49	YALI1_A07538g YALI2_A00117g				Uncharacterized protein
A0A1D8NNX5	B0I71DRAFT_131624 YALI1_F23446g	GO:0005801; GO:0006886; GO:0016020		Golgi apparatus;Membrane;Protein transport;Transport	Component of oligomeric Golgi complex 3 (Conserved oligomeric Golgi complex subunit 3)
A0A1H6PM24	B0I71DRAFT_127301 YALI1_F10115g YALI2_F00847g				Ubiquitin-like protein SMT3 (Ubiquitin-related domain-containing protein)
A0A1D8NLL0	B0I71DRAFT_126135 YALI1_F03269g				Uncharacterized protein
A0A371BZ68	B0I71DRAFT_136508 YALI2_B00309g	GO:0000224		Hydrolase	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase (EC 3.5.1.52)
